name,collection,material,x,y,z,a_mm,b_mm,length_mm,source,basis
GF North wall | bottom plate,02 Ground floor walls,MGP10 pine,6.8098,7.835,0.0175,90.0,35.0,769.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals king stud,02 Ground floor walls,MGP10 pine,9.3844,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals king stud.001,02 Ground floor walls,MGP10 pine,12.2344,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals jack stud,02 Ground floor walls,MGP10 pine,9.4294,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals jack stud.001,02 Ground floor walls,MGP10 pine,12.1894,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals LVL lintel,02 Ground floor walls,LVL beams,10.8094,7.835,2.52,90.0,240.0,2810.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill,02 Ground floor walls,MGP10 pine,10.8094,7.835,0.2575,90.0,45.0,2710.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple,02 Ground floor walls,MGP10 pine,9.575,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple,02 Ground floor walls,MGP10 pine,9.575,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple.001,02 Ground floor walls,MGP10 pine,10.025,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple.001,02 Ground floor walls,MGP10 pine,10.025,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple.002,02 Ground floor walls,MGP10 pine,10.475,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple.002,02 Ground floor walls,MGP10 pine,10.475,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple.003,02 Ground floor walls,MGP10 pine,10.925,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple.003,02 Ground floor walls,MGP10 pine,10.925,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple.004,02 Ground floor walls,MGP10 pine,11.375,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple.004,02 Ground floor walls,MGP10 pine,11.375,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals sill cripple.005,02 Ground floor walls,MGP10 pine,11.825,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W05 meals head cripple.005,02 Ground floor walls,MGP10 pine,11.825,7.835,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen king stud,02 Ground floor walls,MGP10 pine,15.771,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen king stud.001,02 Ground floor walls,MGP10 pine,17.421,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen jack stud,02 Ground floor walls,MGP10 pine,15.816,7.835,0.984,45.0,90.0,1898.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen jack stud.001,02 Ground floor walls,MGP10 pine,17.376,7.835,0.984,45.0,90.0,1898.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen LVL lintel,02 Ground floor walls,LVL beams,16.596,7.835,2.028,90.0,190.0,1610.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen sill,02 Ground floor walls,MGP10 pine,16.596,7.835,1.3965,90.0,45.0,1510.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen sill cripple,02 Ground floor walls,MGP10 pine,15.875,7.835,0.7045,35.0,90.0,1339.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen head cripple,02 Ground floor walls,MGP10 pine,15.875,7.835,2.3865,35.0,90.0,527.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen sill cripple.001,02 Ground floor walls,MGP10 pine,16.325,7.835,0.7045,35.0,90.0,1339.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen head cripple.001,02 Ground floor walls,MGP10 pine,16.325,7.835,2.3865,35.0,90.0,527.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen sill cripple.002,02 Ground floor walls,MGP10 pine,16.775,7.835,0.7045,35.0,90.0,1339.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen head cripple.002,02 Ground floor walls,MGP10 pine,16.775,7.835,2.3865,35.0,90.0,527.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen sill cripple.003,02 Ground floor walls,MGP10 pine,17.225,7.835,0.7045,35.0,90.0,1339.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W04 kitchen head cripple.003,02 Ground floor walls,MGP10 pine,17.225,7.835,2.3865,35.0,90.0,527.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder king stud,02 Ground floor walls,MGP10 pine,20.4831,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder king stud.001,02 Ground floor walls,MGP10 pine,21.4331,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder jack stud,02 Ground floor walls,MGP10 pine,20.5281,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder jack stud.001,02 Ground floor walls,MGP10 pine,21.3881,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder LVL lintel,02 Ground floor walls,LVL beams,20.9581,7.835,2.46,90.0,120.0,910.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder sill,02 Ground floor walls,MGP10 pine,20.9581,7.835,0.2575,90.0,45.0,810.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder sill cripple,02 Ground floor walls,MGP10 pine,20.825,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder head cripple,02 Ground floor walls,MGP10 pine,20.825,7.835,2.585,35.0,90.0,130.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder sill cripple.001,02 Ground floor walls,MGP10 pine,21.275,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W03 powder head cripple.001,02 Ground floor walls,MGP10 pine,21.275,7.835,2.585,35.0,90.0,130.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry king stud,02 Ground floor walls,MGP10 pine,24.6005,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry king stud.001,02 Ground floor walls,MGP10 pine,25.5505,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry jack stud,02 Ground floor walls,MGP10 pine,24.6455,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry jack stud.001,02 Ground floor walls,MGP10 pine,25.5055,7.835,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry LVL lintel,02 Ground floor walls,LVL beams,25.0755,7.835,2.46,90.0,120.0,910.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry sill,02 Ground floor walls,MGP10 pine,25.0755,7.835,0.2575,90.0,45.0,810.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry sill cripple,02 Ground floor walls,MGP10 pine,24.875,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry head cripple,02 Ground floor walls,MGP10 pine,24.875,7.835,2.585,35.0,90.0,130.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry sill cripple.001,02 Ground floor walls,MGP10 pine,25.325,7.835,0.135,35.0,90.0,200.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | W02 entry head cripple.001,02 Ground floor walls,MGP10 pine,25.325,7.835,2.585,35.0,90.0,130.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud,02 Ground floor walls,MGP10 pine,6.4425,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.001,02 Ground floor walls,MGP10 pine,26.9275,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.002,02 Ground floor walls,MGP10 pine,6.875,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.003,02 Ground floor walls,MGP10 pine,8.225,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.004,02 Ground floor walls,MGP10 pine,8.675,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.005,02 Ground floor walls,MGP10 pine,9.125,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.006,02 Ground floor walls,MGP10 pine,12.725,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.007,02 Ground floor walls,MGP10 pine,13.175,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.008,02 Ground floor walls,MGP10 pine,13.625,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.009,02 Ground floor walls,MGP10 pine,14.075,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.010,02 Ground floor walls,MGP10 pine,14.525,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.011,02 Ground floor walls,MGP10 pine,14.975,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.012,02 Ground floor walls,MGP10 pine,15.425,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.013,02 Ground floor walls,MGP10 pine,17.675,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.014,02 Ground floor walls,MGP10 pine,18.125,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.015,02 Ground floor walls,MGP10 pine,18.575,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.016,02 Ground floor walls,MGP10 pine,19.025,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.017,02 Ground floor walls,MGP10 pine,19.475,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.018,02 Ground floor walls,MGP10 pine,19.925,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.019,02 Ground floor walls,MGP10 pine,20.375,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.020,02 Ground floor walls,MGP10 pine,21.725,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.021,02 Ground floor walls,MGP10 pine,22.175,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.022,02 Ground floor walls,MGP10 pine,22.625,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.023,02 Ground floor walls,MGP10 pine,23.075,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.024,02 Ground floor walls,MGP10 pine,23.525,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.025,02 Ground floor walls,MGP10 pine,23.975,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.026,02 Ground floor walls,MGP10 pine,24.425,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.027,02 Ground floor walls,MGP10 pine,25.775,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.028,02 Ground floor walls,MGP10 pine,26.225,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | common stud.029,02 Ground floor walls,MGP10 pine,26.675,7.835,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging,02 Ground floor walls,MGP10 pine,6.6588,7.835,0.9133,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.001,02 Ground floor walls,MGP10 pine,6.9998,7.835,0.9133,90.0,35.0,214.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.002,02 Ground floor walls,MGP10 pine,8.1548,7.835,0.9133,90.0,35.0,105.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.003,02 Ground floor walls,MGP10 pine,8.45,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.004,02 Ground floor walls,MGP10 pine,8.9,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.005,02 Ground floor walls,MGP10 pine,9.2547,7.835,0.9133,90.0,35.0,224.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.006,02 Ground floor walls,MGP10 pine,12.5,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.007,02 Ground floor walls,MGP10 pine,12.95,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.008,02 Ground floor walls,MGP10 pine,13.4,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.009,02 Ground floor walls,MGP10 pine,13.85,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.010,02 Ground floor walls,MGP10 pine,14.3,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.011,02 Ground floor walls,MGP10 pine,14.75,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.012,02 Ground floor walls,MGP10 pine,15.2,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.013,02 Ground floor walls,MGP10 pine,15.598,7.835,0.9133,90.0,35.0,311.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.014,02 Ground floor walls,MGP10 pine,17.548,7.835,0.9133,90.0,35.0,219.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.015,02 Ground floor walls,MGP10 pine,17.9,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.016,02 Ground floor walls,MGP10 pine,18.35,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.017,02 Ground floor walls,MGP10 pine,18.8,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.018,02 Ground floor walls,MGP10 pine,19.25,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.019,02 Ground floor walls,MGP10 pine,19.7,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.020,02 Ground floor walls,MGP10 pine,20.15,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.021,02 Ground floor walls,MGP10 pine,20.4291,7.835,0.9133,90.0,35.0,73.1,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.022,02 Ground floor walls,MGP10 pine,21.5791,7.835,0.9133,90.0,35.0,256.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.023,02 Ground floor walls,MGP10 pine,21.95,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.024,02 Ground floor walls,MGP10 pine,22.4,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.025,02 Ground floor walls,MGP10 pine,22.85,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.026,02 Ground floor walls,MGP10 pine,23.3,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.027,02 Ground floor walls,MGP10 pine,23.75,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.028,02 Ground floor walls,MGP10 pine,24.2,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.029,02 Ground floor walls,MGP10 pine,24.5127,7.835,0.9133,90.0,35.0,140.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.030,02 Ground floor walls,MGP10 pine,25.6627,7.835,0.9133,90.0,35.0,189.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.031,02 Ground floor walls,MGP10 pine,26.0,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.032,02 Ground floor walls,MGP10 pine,26.45,7.835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.033,02 Ground floor walls,MGP10 pine,26.8013,7.835,0.9133,90.0,35.0,217.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.034,02 Ground floor walls,MGP10 pine,6.6588,7.835,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.035,02 Ground floor walls,MGP10 pine,6.9998,7.835,1.8267,90.0,35.0,214.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.036,02 Ground floor walls,MGP10 pine,8.1548,7.835,1.8267,90.0,35.0,105.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.037,02 Ground floor walls,MGP10 pine,8.45,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.038,02 Ground floor walls,MGP10 pine,8.9,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.039,02 Ground floor walls,MGP10 pine,9.2547,7.835,1.8267,90.0,35.0,224.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.040,02 Ground floor walls,MGP10 pine,12.5,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.041,02 Ground floor walls,MGP10 pine,12.95,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.042,02 Ground floor walls,MGP10 pine,13.4,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.043,02 Ground floor walls,MGP10 pine,13.85,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.044,02 Ground floor walls,MGP10 pine,14.3,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.045,02 Ground floor walls,MGP10 pine,14.75,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.046,02 Ground floor walls,MGP10 pine,15.2,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.047,02 Ground floor walls,MGP10 pine,15.598,7.835,1.8267,90.0,35.0,311.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.048,02 Ground floor walls,MGP10 pine,17.548,7.835,1.8267,90.0,35.0,219.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.049,02 Ground floor walls,MGP10 pine,17.9,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.050,02 Ground floor walls,MGP10 pine,18.35,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.051,02 Ground floor walls,MGP10 pine,18.8,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | nogging.052,02 Ground floor walls,MGP10 pine,19.25,7.835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
